Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
e0a12923-8439-4031-9ad6-3ad56113d34a,"2020-07-23, 05:51:55 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
4ce54a0f-fdf7-44a5-8b8d-dc635f472117,"2020-07-23, 05:51:50 PM",klee0201,GetInsightSelectors,,,,us-west-2,InsightNotEnabledException,24.19.49.168
4dcfa2d7-b756-434e-a2b4-0f6cc00dadde,"2020-07-23, 05:51:50 PM",klee0201,ListKeys,,,,us-west-2,,24.19.49.168
5ae315fa-7413-41d4-91ee-c65ffa2901a3,"2020-07-23, 05:51:50 PM",klee0201,GetBucketLocation,,,,us-west-2,,24.19.49.168
65d56557-5970-4f18-ae11-878ef80c6ce9,"2020-07-23, 05:51:50 PM",klee0201,ListTopics,,,,us-west-2,,24.19.49.168
71acb592-f631-41b3-90bd-2bad384fc94b,"2020-07-23, 05:51:50 PM",klee0201,GetTrailStatus,,,,us-west-2,,24.19.49.168
90f258f3-e8ad-4ae4-964c-94b66ca094d1,"2020-07-23, 05:51:50 PM",klee0201,ListAliases,,,,us-west-2,,24.19.49.168
adfbd2fa-6109-4e43-8d85-3e9bc9d83c0a,"2020-07-23, 05:51:50 PM",klee0201,ListAliases,,,,us-west-2,,24.19.49.168
aefd6220-db84-4c3f-b945-f700e310c95d,"2020-07-23, 05:51:50 PM",klee0201,ListKeys,,,,us-west-2,,24.19.49.168
d3a79ff5-a301-4390-b3b3-2c7b174b65f3,"2020-07-23, 05:51:50 PM",klee0201,ListFunctions20150331,,,,us-west-2,,24.19.49.168
1af17146-91f2-417e-964e-06a8a53c88d6,"2020-07-23, 05:51:49 PM",klee0201,GetEventSelectors,,,,us-west-2,,24.19.49.168
e8a1865b-cea6-4fe0-805b-d8d135054e45,"2020-07-23, 05:51:49 PM",klee0201,ListTags,,,,us-west-2,,24.19.49.168
8ece895f-3664-42fd-9af0-082bceb7896b,"2020-07-23, 05:51:47 PM",klee0201,GetTrailStatus,,,,us-west-2,,24.19.49.168
